,,,,,Initial,(Reductions),Future,Proposed
Rating,,,Description,,Request,Additions,Reserves Year,Amount
OR,.5,English,Educator (FMS),,,$0,"($51,000)","($51,000)"
OR,.25,English,Educator,(FMS),,$0,"($25,500)","($25,500)"
OR,.25,Math Educator,(FMS),,,$0,"($25,500)","($25,500)"
OR,3 Reg,Education,Technicians,(FHS),,$0,"($145,800)","($145,800)"
OR,1 Reg,Education,Technicians,(FMS),,$0,"($48,600)","($48,600)"
OR,1 Reg,Education,Technicians,(MLS),,$0,"($48,600)","($48,600)"
OR,Mechanic,(do,not fund for,FY26),,$0,"($86,800)","($86,800)"
,Total,Year,over Year,Expenditure,,,,
,,,Increase/Decrease,Amount,"$3,524,358",,"($1,139,889) $0","$0 $2,384,469"
,Total,Year,over Year,Expenditure,,,,
,,,,Increase/Decrease,%,8.47%,,5.73%
M=,"Maintenance,",1=,"Priority 1,",2= Priority,"2, 3= Priority","3, OR=",Other Reduction,
Revised,,03.19.2025,,,,,,
