,,,,,,2026-2027,,
,,,,Proposed,Budget,Expenditure/Reductions,Summary,
,,,,,,Initial,,Proposed
Rating,,,,Description,,Request,Reductions Reserves,Amount
,Salary,&,Benefit,Increases,for current,,,
M,,staffing levels,,,,"$3,157,663",,"$3,157,663"
M,FMS-,Student,,Council Stipend,,"($1,440)",,"($1,440)"
,DW-,Misc.,"Supplies,","Books,","Furniture,",,,
M,,"Subscriptions,",,Contracted,Services,"$202,560",,"$202,560"
M,CTE-,Region,10,,,"$29,637",,"$29,637"
M,Debt,Service,,,,"($41,351)",,"($41,351)"
,,Special,Education-,1 FTE,Speech,,,
N,,Language,Pathologist,,,"$107,700",,"$107,700"
,,Special,Education-,.5 FTE,Teacher of,,,
N,the,Deaf,,,,"$53,850",,"$53,850"
,,Special,Education-,Out of,District,,,
N,,Placements,,,,"$195,000",,"$195,000"
N,DW-,Energy,Audit,Phase 1,Payment,"$254,455",,"$254,455"
,DW-,,Continuation,of Vehicle,&,,,
N,,Equipment,,Replacement,Plan,"$168,000",,"$168,000"
,FMS-,Board,Approved,Paid,Sabbatical,,,
N,Leave,(.5,Wages &,Benefits),,"$28,268",,"$28,268"
R,MSS-,Summer,,Programming,,"$7,710",,"$7,710"
R,FMS-,,Swimming,Stipend,,"$2,350",,"$2,350"
R,DW-,Facilities,Study,,,"$75,000","($75,000)",$0
,,Transportation-,,20hr,Administrative,,,
R,,Support,,,,"$51,821",,"$51,821"
R,,Business,Office-,20hr,Bookkeeper,"($51,821)",,"($51,821)"
,,Technology-,Annual,software,"licensing,",,,
R/T1/T2,Device,,replacements,(Laptops,& AV),"$336,758","($250,000)","$86,758"
,,Facilities-,Maintenance,,(Painting &,,,
R/T1,Carpet,,Replacements),,,"$116,000","($58,000)","$58,000"
T1,DCS-,1 FTE,Grade,1 Educator,,$0,"($107,700)","($107,700)"
T1,MSS-,1 FTE,Grade,2 Educator,,$0,"($107,700)","($107,700)"
T1,MLS-,1 FTE,Grade,3 Educator,,$0,"($107,700)","($107,700)"
T1,FMS-,.25,FTE Math,RTI,Educator,$0,"($26,925)","($26,925)"
T1,FMS-,16.25hr,Office,Support,,$0,"($26,756)","($26,756)"
,,,,,,Initial,,Proposed
Rating,,,,Description,,Request,Reductions Reserves,Amount
T1,FMS-,.5,FTE ELA,Educator,,$0,"($53,850)","($53,850)"
T1,FMS-,.25,FTE ELA,Educator,,$0,"($26,925)","($26,925)"
T1,FMS-,1 FTE,French,Educator,,$0,"($107,700)","($107,700)"
T1,FHS-,1 FTE,Math,Educator,,$0,"($107,700)","($107,700)"
T1,FHS-,Printing,Clerk,,,$0,"($21,738)","($21,738)"
T1,FHS-,1 FTE,Latin,Educator,,$0,"($107,700)","($107,700)"
,FHS-,.5 FTE,Community,,Outreach,,,
T1,,Coordinator,,,,$0,"($57,059)","($57,059)"
T1,DW-,1 FTE,ESOL,Educator,,$0,"($107,700)","($107,700)"
T2,DCS-,32.5hr,Ed Tech,(Bench,Sub),$0,"($52,600)","($52,600)"
T2,MSS-,32.5hr,Ed Tech,(RTI),,$0,"($52,600)","($52,600)"
T2,MLS-,32.5hr,Ed Tech,(RTI),,$0,"($52,600)","($52,600)"
T2,,FMS-32.5hr,Ed Tech,(General,Ed),$0,"($52,600)","($52,600)"
T2,FMS-,32.5hr,Ed Tech,(General,Ed),$0,"($52,600)","($52,600)"
,DW-,1,Instructional,Strategist,(K-5,,,
T2,level),,,,,$0,"($107,700)","($107,700)"
T2,School,,Nutrition,,,$0,"($69,796)","($69,796)"
,,Total,Year over,Year,Expenditure,,,
,,,,Increase/Decrease,Amount,"$4,692,160","($1,715,649) ($75,000)","$2,901,512"
,,Total,Year over,Year,Expenditure,,,
,,,,Increase/Decrease,%,10.55%,,6.53%
M=,Maintenance,,,,,,,
N=,Necessary,,Addition,,,,,
R=,Recommended,,Addition,,,,,
T1=,Tier 1,Reduction,,,,,,
T2=,Tier 2,Reduction,,,,,,
Updated,,02.11.2026,,,,,,
