,,,,Administrative,,Prioritization,,of Requests
,,,,,March,"23, 2022",,
First,Priority,,,,,,,
A.,"$87,000",,,Classroom,Teacher,MLS,,
B.,"$87,000",,,Classroom,Teacher,DCS,,
C.,"$130,500",,ELL,Teacher,1.5 FTE,,Districtwide,
,Second,Priority,,,,,,
A.,"$37,000",,Ed,Tech,,DCS,,
B.,"$37,000",,Ed,Tech,,FMS,,
C.,"$37,000",,Ed,Tech,,MLS,,
D.,"$18,500",,Ed,Tech (.5),,FHS,,
E.,"$87,000",,,Special Ed,Teacher,"MSS,","PES,",DCS
F.,"$87,000",,,Occupational,Therapist,"MSS,","PES,",DCS
G.,"$87,000",,,Speech,Therapist,"MSS,","PES,",DCS
H.,"$56,000",,Bus,,Driver/Custodian,,Districtwide,
I.,"$27,310",,,Athletic,Trainer Add’l,Hours FHS,,
Third,,Priority,,,,,,
A.,"$20,000",,. 2,Equity,Officer,,Districtwide,
B.,"$87,000",,Math,Strategist,,,Elementary,
