,,,,ProjectedEnrollment,,,,
,,,,2023-2024,,,,
,,,2019-2020,2020-2021,2021-2022,,2022-2023,2023-2024
,,,Enrollment,Enrollment,Enrollment,,Enrollment,Projected
,,,10/1/19,10/1/20,10/1/21,,10/1/22,Enrollment
,DurhamCommunitySchool,,438,431,455,,463,479
,MorseStreetSchool,,309,284,301,,327,325
,PownalElementarySchool,,104,103,108,,96,103
,MastLandingSchool,,234,213,235,,254,265
,FreeportMiddleSchool,,347,314,296,,307,282
,FreeportHighSchool,,580,604,595,,619,633
Total,,,2012,1949,1990,,2066,2087
,,,,ProjectedTeachers/ClassSizesPerGrade,,,,
,,Durham,,Pownal,,,,
,Grade,Community,MorseStreet,Elementary,,MastLanding,,FreeportMiddle
,,"1.5(16,16,16)","2(16,16,16,16)",.5(16),,,,
,Pre-K,,,,,,,
,K,3(15),5(17),1(14),,,,
,1,3(14-15),5(17-18),1(11),,,,
,2,3(16-17),5(17-18),1(20),,,,
,3,3(15),,1(14),,5(18-19),,
,4,3(17-18),,1(13),,4(21-22),,
,5,3(18-19),,1(15),,4(21-22),,
,6,3(17),,,,,,5.33(16-19)
,7,2(19),,,,,,5.33(18-20)
,8,3(16),,,,,,5.33(17-19)
,Total,27.5,17,6.5,,13,,16
,9,,,,,,,Seenextpage
,10,,,,,,,Seenextpage
,11,,,,,,,Seenextpage
,12,,,,,,,Seenextpage
